client_id,status,latency_ms
2,OK,3506
1,OK,4140
3,OK,4804
4,OK,5412
5,OK,6193
7,OK,6881
6,OK,7462
8,OK,8180
9,OK,8923
10,OK,9310
11,OK,9882
12,OK,10673
13,OK,8208
14,OK,8290
15,OK,8332
16,OK,8362
17,OK,8284
18,OK,8308
19,OK,8400
20,OK,8401
21,OK,8258
22,OK,8252
23,OK,8367
24,OK,8207
25,OK,8526
26,OK,8603
27,OK,8683
28,OK,8731
29,OK,8818
30,OK,8497
31,OK,8431
32,OK,8411
33,OK,8542
34,OK,8822
35,OK,8897
36,OK,9088
37,OK,8716
38,OK,8875
39,OK,8854
40,OK,8584
41,OK,8968
42,OK,8991
43,OK,8999
44,OK,9024
45,OK,9099
46,OK,9107
47,OK,9039
48,OK,9025
49,OK,8619
50,OK,8353
51,OK,8190
52,OK,8346
53,OK,8180
54,OK,8142
55,OK,8038
56,OK,8345
57,OK,8172
58,OK,8015
59,OK,7838
60,OK,7434
